Stkcd,Accper,eps,eps_diluted,ttl_shr_cap,
157,30/6/2020,0.54,0.54,7898778232,
157,30/9/2020,0.76,0.76,,
166,31/12/2014,0.51,0.51,6715760000,
166,31/3/2015,0.19,0.19,,
166,30/6/2015,0.5,0.5,14856744977,
166,30/9/2015,0.57,0.57,,
166,31/12/2015,0.82,0.82,14856744977,
166,31/3/2016,0.07,0.07,,
166,30/6/2016,0.14,0.14,14856744977,
166,30/9/2016,0.19,0.19,,
166,31/12/2016,0.27,0.27,20056605718,
166,31/3/2017,0.05,0.05,,
166,30/6/2017,0.1,0.1,20056605718,
166,30/9/2017,0.18,0.18,,
166,31/12/2017,0.23,0.23,20056605718,
166,31/3/2018,0.05,0.05,,
166,30/6/2018,0.09,0.09,22535944560,
166,30/9/2018,0.15,0.15,,
166,31/12/2018,0.19,0.19,22535944560,
166,31/3/2019,0.08,0.08,,
166,30/6/2019,0.14,0.14,25039944560,
166,30/9/2019,0.2,0.2,,
166,31/12/2019,0.24,0.24,25039944560,
166,31/3/2020,0.08,0.08,,
166,30/6/2020,0.16,0.16,25039944560,
166,30/9/2020,0.26,0.26,,
338,30/6/2007,1.87,1.87,520653552,
338,30/9/2007,2.78,2.78,,
338,31/12/2007,4.42,4.42,520653552,
338,31/3/2008,1.37,1.37,,
338,30/6/2008,3.19,3.19,520653552,
338,30/9/2008,3.88,3.88,,
338,31/12/2008,2.32,2.32,833044683,
338,31/3/2009,0.43,0.43,,
338,30/6/2009,1.47,1.47,833044683,
338,30/9/2009,2.86,2.86,,
338,31/12/2009,4.09,4.09,833044683,
338,31/3/2010,1.94,1.94,,
338,30/6/2010,3.88,3.88,833044683,
338,30/9/2010,5.76,5.76,,
338,31/12/2010,4.07,4.07,1666091366,
338,31/3/2011,1.11,1.11,,
338,30/6/2011,2.1,2.1,1666091366,
338,30/9/2011,2.75,2.75,,
338,31/12/2011,3.36,3.36,1666091366,
338,31/3/2012,0.62,0.62,,
338,30/6/2012,1.14,1.14,1666091366,
338,30/9/2012,1.2,1.2,,
338,31/12/2012,1.5,1.5,1999309639,
