Stkcd,Name,Annodt,Year Ended,Event,Particular,Type,Ex-Date,Book Close Date,Payable Date
,,17/3/2011,Dec-10,Final,D:RMB 0.3000,Cash,14/4/2011,2011/04/18-2011/05/16,6/7/2011
,,17/3/2011,Dec-10,Final,B:2-for-10,Scrip,14/4/2011,2011/04/18-2011/05/16,6/7/2011
,,19/8/2010,Dec-10,Interim,No Dividend,-,-,-,-
,,8/4/2010,Dec-09,Final,D:RMB 0.3000,Cash,30/4/2010,2010/05/04-2010/06/02,23/6/2010
,,8/4/2010,Dec-09,Final,B:5-for-10,Scrip,30/4/2010,2010/05/04-2010/06/02,23/6/2010
,,19/8/2009,Dec-09,Interim,No Dividend,-,-,-,-
,,19/3/2009,Dec-08,Final,D:RMB 0.3000,Cash,16/4/2009,2009/04/18-2009/05/18,5/6/2009
,,19/3/2009,Dec-08,Final,B:3 -for- 10,Scrip,16/4/2009,2009/04/18-2009/05/18,5/6/2009
,,20/8/2008,Dec-08,Interim,No Dividend,-,-,-,-
,,19/3/2008,Dec-07,Final,D: RMB 0.2500,Cash,24/4/2008,2008/04/26-2008/05/26,27/5/2008
,,19/3/2008,Dec-07,Final,B: 4 - for - 10,Scrip,24/4/2008,2008/04/26-2008/05/26,14/7/2008
,,27/8/2007,Dec-07,Interim,No Dividend,-,-,-,-
,,18/4/2007,Dec-06,Final,D: RMB 0.1500,Cash,14/5/2007,2007/05/16-2007/06/14,27/7/2007
,,24/8/2006,Dec-06,Interim,No Dividend,-,-,-,-
,,6/4/2006,Dec-05,Final,D: RMB 0.2500,Cash,11/5/2006,2006/05/15-2006/06/13,14/7/2006
,,23/8/2005,Dec-05,Interim,No Dividend,-,-,-,-
,,10/4/2005,Dec-04,Final,D: RMB 0.2500,Cash,28/4/2005,2005/04/30-2005/05/30,8/7/2005
