Stkcd,Name,Annodt,Year Ended,Event,Particular,Type,Ex-Date,Book Close Date,Payable Date
,,30/3/2007,Dec-06,Final,D: RMB 0.0200,Cash,23/4/2007,2007/04/25-2007/05/25,25/7/2007
,,30/3/2007,Dec-06,Final,B: 1 - for - 4,Scrip,23/4/2007,2007/04/25-2007/05/25,25/7/2007
,,8/11/2006,Dec-06,Quarter 3,No Dividend,-,-,-,-
,,11/8/2006,Dec-06,Interim,D: RMB 0.0150,Cash,2/11/2006,2006/11/05-2006/12/05,29/12/2006
588,????????,28/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,26/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,28/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,30/3/2020,Dec-19,Final,D:RMB 0.1500(equivalent to HKD 0.16431),Cash,18/6/2020,2020/06/22-2020/06/30,24/7/2020
,,29/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,21/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,24/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,20/3/2019,Dec-18,Final,D:RMB 0.1200(equivalent to HKD 0.13652),Cash,30/5/2019,2019/06/03-2019/06/11,26/7/2019
,,29/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,23/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,26/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,21/3/2018,Dec-17,Final,D:RMB 0.1100(equivalent to HKD 0.13528),Cash,30/5/2018,2018/06/01-2018/06/08,27/7/2018
,,26/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,16/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,26/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,22/3/2017,Dec-16,Final,D:RMB 0.0600(equivalent to HKD 0.068015),Cash,5/6/2017,2017/06/07-2017/06/14,28/7/2017
,,27/10/2016,Dec-16,Quarter 1,No Dividend,-,-,-,-
,,27/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,17/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
,,30/3/2016,Dec-15,Final,D:RMB 0.0600(equivalent to HKD 0.071279),Cash,27/5/2016,2016/05/31-2016/06/07,25/7/2016
,,19/8/2015,Dec-15,Interim,No Dividend,-,-,-,-
,,27/4/2015,Dec-15,Quarter 1,No Dividend,-,-,-,-
,,18/3/2015,Dec-14,Final,D:RMB 0.0600(equivalent to HKD 0.076246),Cash,1/6/2015,2015/06/03-2015/06/09,27/7/2015
,,27/10/2014,Dec-14,Quarter 3,No Dividend,-,-,-,-
,,13/8/2014,Dec-14,Interim,No Dividend,-,-,-,-
,,23/4/2014,Dec-14,Quarter 1,No Dividend,-,-,-,-
,,12/3/2014,Dec-13,Final,D:RMB 0.0600(equivalent to HKD 0.075459),Cash,27/5/2014,2014/05/29-2014/06/05,31/7/2014
,,28/10/2013,Dec-13,Quarter 3,No Dividend,-,-,-,-
,,7/8/2013,Dec-13,Interim,No Dividend,-,-,-,-
,,24/4/2013,Dec-13,Quarter 1,No Dividend,-,-,-,-
,,20/3/2013,Dec-12,Final,D:RMB 0.0600(equivalent to HKD 0.075351),Cash,7/6/2013,2013/06/11-2013/06/19,31/7/2013
,,8/8/2012,Dec-12,Interim,No Dividend,-,-,-,-
,,21/3/2012,Dec-11,Final,D:RMB 0.0300,Cash,5/6/2012,2012/06/07-2012/06/14,27/7/2012
,,29/8/2011,Dec-11,Interim,No Dividend,-,-,-,-
,,23/3/2011,Dec-10,Final,D:RMB 0.0200,Cash,27/4/2011,2011/04/29-2011/06/01,29/7/2011
,,18/8/2010,Dec-10,Interim,No Dividend,-,-,-,-
,,7/4/2010,Dec-09,Final,D:RMB 0.0300,Cash,6/5/2010,2010/05/10-2010/06/09,4/8/2010
,,19/8/2009,Dec-09,Interim,No Dividend,-,-,-,-
,,18/3/2009,Dec-08,Final,D:RMB 0.0300,Cash,16/4/2009,2009/04/18-2009/05/19,10/6/2009
,,31/7/2008,Dec-08,Interim,No Dividend,-,-,-,-
,,6/3/2008,Dec-07,Final,D: RMB 0.0300,Cash,1/4/2008,2008/04/03-2008/05/06,20/5/2008
,,6/9/2007,Dec-07,Interim,No Dividend,-,-,-,-
,,27/4/2007,Dec-06,Final,D: HKD 0.0400,Cash,10/5/2007,2007/05/14-2007/06/13,26/6/2007
,,15/8/2006,Dec-06,Interim,No Dividend,-,-,-,-
,,15/3/2006,Dec-05,Final,D: RMB 0.025,Cash,11/4/2006,2006/04/13-2006/05/16,29/5/2006
,,24/8/2005,Dec-05,Interim,No Dividend,-,-,-,-
,,26/1/2005,Dec-04,Final,D: RMB 0.15,Cash,24/2/2005,2005/02/28-2005/03/30,13/4/2005
,,26/11/2004,Dec-04,Special,D: RMB 0.01,Cash,10/12/2004,2004/12/14-2004/12/21,29/12/2004
,,19/2/2004,Dec-03,Final,D: RMB 0.035,Cash,18/3/2004,2004/03/22-2004/04/21,14/5/2004
,,13/8/2003,Dec-03,Interim,No Dividend,-,-,-,-
,,5/3/2003,Dec-02,Final,D: RMB 0.03,Cash,15/4/2003,2003/04/17-2003/05/20,13/6/2003
,,6/8/2002,Dec-02,Interim,No Dividend,-,-,-,-
,,25/3/2002,Dec-01,Final,D: RMB 0.03,Cash,25/4/2002,2002/04/29-2002/05/29,6/6/2002
,,15/8/2001,Dec-01,Interim,No Dividend,-,-,-,-
,,17/4/2001,Dec-00,Final,D: RMB 0.0850,Cash,10/5/2001,2001/05/14-2001/06/13,21/6/2001
,,18/8/2000,Dec-00,Interim,No Dividend,-,-,-,-
670,????????,30/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,28/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,29/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,1/4/2020,Dec-19,Final,D:RMB 0.0500(equivalent to HKD 0.0550),Cash,8/7/2020,2020/07/10-2020/07/15,6/8/2020
,,29/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,30/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,29/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,29/3/2019,Dec-18,Final,No Dividend,-,-,-,-
,,26/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,30/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,26/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,29/3/2018,Dec-17,Final,D:RMB 0.0510(equivalent to HKD 0.0630),Cash,25/6/2018,2018/06/27-2018/07/02,24/7/2018
,,26/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,29/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,27/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,31/3/2017,Dec-16,Final,D:RMB 0.0490(equivalent to HKD 0.0560),Cash,3/7/2017,2017/07/05-2017/07/10,10/8/2017
,,27/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,30/8/2016,Dec-16,Interim,D:RMB 0.0510(equivalent to HKD 0.0585),Cash,31/10/2016,2016/11/02-2016/11/07,7/12/2016
,,28/4/2016,Dec-16,Quarter 1,No Dividend,-,-,-,-
,,30/3/2016,Dec-15,Final,No Dividend,-,-,-,-
,,27/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,14/8/2015,Dec-15,Interim,No Dividend,-,-,-,-
,,29/4/2015,Dec-15,Quarter 1,No Dividend,-,-,-,-
,,27/3/2015,Dec-14,Final,No Dividend,-,-,-,-
,,29/10/2014,Dec-14,Quarter 3,No Dividend,-,-,-,-
,,29/8/2014,Dec-14,Interim,No Dividend,-,-,-,-
,,29/4/2014,Dec-14,Quarter 1,No Dividend,-,-,-,-
,,26/3/2014,Dec-13,Final,No Dividend,-,-,-,-
,,29/10/2013,Dec-13,Quarter 3,No Dividend,-,-,-,-
,,30/8/2013,Dec-13,Interim,No Dividend,-,-,-,-
,,26/4/2013,Dec-13,Quarter 1,No Dividend,-,-,-,-
,,27/3/2013,Dec-12,Final,No Dividend,-,-,-,-
,,30/8/2012,Dec-12,Interim,No Dividend,-,-,-,-
,,25/3/2012,Dec-11,Final,No Dividend,-,-,-,-
,,29/8/2011,Dec-11,Interim,No Dividend,-,-,-,-
,,30/3/2011,Dec-10,Final,No Dividend,-,-,-,-
,,29/8/2010,Dec-10,Interim,No Dividend,-,-,-,-
,,16/4/2010,Dec-09,Final,No Dividend,-,-,-,-
,,10/8/2009,Dec-09,Interim,No Dividend,-,-,-,-
,,15/4/2009,Dec-08,Final,No Dividend,-,-,-,-
,,26/8/2008,Dec-08,Interim,No Dividend,-,-,-,-
,,14/4/2008,Dec-07,Final,No Dividend,-,-,-,-
,,17/9/2007,Dec-07,Interim,No Dividend,-,-,-,-
,,20/4/2007,Dec-06,Final,No Dividend,-,-,-,-
,,28/8/2006,Dec-06,Interim,No Dividend,-,-,-,-
,,10/4/2006,Dec-05,Final,No Dividend,-,-,-,-
,,29/8/2005,Dec-05,Interim,No Dividend,-,-,-,-
,,12/4/2005,Dec-04,Final,D: RMB 0.0200,Cash,27/7/2005,2005/07/29-2005/08/03,24/8/2005
,,25/8/2004,Dec-04,Interim,No Dividend,-,-,-,-
,,5/4/2004,Dec-03,Final,No Dividend,-,-,-,-
,,25/8/2003,Dec-03,Interim,No Dividend,-,-,-,-
,,7/4/2003,Dec-02,Final,No Dividend,-,-,-,-
,,8/4/2002,Dec-01,Final,D: RMB 0.0200,Cash,16/5/2002,2002/05/18-2002/06/17,18/7/2002
719,????????,22/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,21/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,21/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,20/3/2020,Dec-19,Final,D:RMB 0.1200 (equivalent to HKD 0.131395),Cash,17/7/2020,2020/07/21-2020/07/27,7/8/2020
,,28/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,19/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,23/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,22/3/2019,Dec-18,Final,D:RMB 0.1000(equivalent to HKD 0.113853),Cash,5/7/2019,2019/07/09-2019/07/15,26/7/2019
,,22/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,16/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,19/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,23/3/2018,Dec-17,Final,D:RMB 0.0500(equivalent to HKD 0.0601),Cash,6/7/2018,2018/07/10-2018/07/16,27/7/2018
,,23/3/2018,Dec-17,Final,B:3-for-10,Scrip,6/7/2018,2018/07/10-2018/07/16,27/7/2018
,,30/10/2017,Dec-17,Quarter 3,SD:RMB 0.0300,Cash,29/12/2017,2018/01/03-2018/01/08,19/1/2018
,,11/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,18/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,14/3/2017,Dec-16,Final,No Dividend,-,-,-,-
,,26/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,29/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
,,29/4/2016,Dec-16,Quarter 1,No Dividend,-,-,-,-
,,30/3/2016,Dec-15,Final,D:RMB 0.0200(equivalent to HKD 0.023465),Cash,4/7/2016,2016/07/06-2016/07/11,12/8/2016
,,23/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,30/7/2015,Dec-15,Interim,No Dividend,-,-,-,-
,,24/4/2015,Dec-15,Quarter 1,No Dividend,-,-,-,-
,,27/3/2015,Dec-14,Final,D:RMB 0.0200(equivalent to HKD 0.0250),Cash,30/6/2015,2015/07/03-2015/07/09,11/8/2015
,,27/10/2014,Dec-14,Quarter 3,No Dividend,-,-,-,-
,,31/7/2014,Dec-14,Interim,No Dividend,-,-,-,-
,,25/4/2014,Dec-14,Quarter 1,No Dividend,-,-,-,-
,,28/3/2014,Dec-13,Final,D:RMB 0.0200(equivalent to HKD 0.0250),Cash,6/6/2014,2014/06/10-2014/06/16,18/7/2014
,,30/10/2013,Dec-13,Quarter 3,No Dividend,-,-,-,-
,,30/7/2013,Dec-13,Interim,No Dividend,-,-,-,-
,,26/4/2013,Dec-13,Quarter 1,No Dividend,-,-,-,-
,,22/3/2013,Dec-12,Final,D:RMB 0.0100(equivalent to HKD 0.0125),Cash,30/5/2013,2013/06/03-2013/06/07,23/7/2013
,,23/8/2012,Dec-12,Interim,No Dividend,-,-,-,-
,,23/3/2012,Dec-11,Final,D:RMB 0.0300,Cash,29/6/2012,2012/07/04-2012/07/09,31/7/2012
,,22/7/2011,Dec-11,Interim,No Dividend,-,-,-,-
,,18/3/2011,Dec-10,Final,D:RMB 0.0500,Cash,26/5/2011,2011/05/30-2011/06/28,30/7/2011
,,28/7/2010,Dec-10,Interim,No Dividend,-,-,-,-
,,9/4/2010,Dec-09,Final,D:RMB 0.0500,Cash,24/5/2010,2010/05/26-2010/06/25,30/7/2010
,,24/7/2009,Dec-09,Interim,No Dividend,-,-,-,-
,,20/3/2009,Dec-08,Final,D:RMB 0.0300,Cash,7/5/2009,2009/05/09-2009/06/08,30/6/2009
,,25/7/2008,Dec-08,Interim,No Dividend,-,-,-,-
,,18/4/2008,Dec-07,Final,D: RMB 0.0300,Cash,23/5/2008,2008/05/27-2008/06/26,30/7/2008
,,6/8/2007,Dec-07,Interim,No Dividend,-,-,-,-
,,26/3/2007,Dec-06,Final,D: RMB 0.0200,Cash,14/5/2007,2007/05/16-2007/06/15,20/7/2007
,,28/7/2006,Dec-06,Interim,No Dividend,-,-,-,-
,,24/3/2006,Dec-05,Final,D: RMB 0.0500,Cash,8/5/2006,2006/05/10-2006/06/09,30/6/2006
,,28/7/2005,Dec-05,Interim,No Dividend,-,-,-,-
,,24/3/2005,Dec-04,Final,No Dividend,-,-,-,-
,,28/7/2004,Dec-04,Interim,No Dividend,-,-,-,-
,,26/3/2004,Dec-03,Final,D: RMB 0.0400,Cash,6/5/2004,2004/05/08-2004/06/07,30/6/2004
,,25/7/2003,Dec-03,Interim,No Dividend,-,-,-,-
,,21/3/2003,Dec-02,Final,D: RMB 0.0600,Cash,7/5/2003,2003/05/10-2003/06/09,30/6/2003
,,2/8/2002,Dec-02,Interim,No Dividend,-,-,-,-
,,22/3/2002,Dec-01,Final,D: RMB 0.0800,Cash,3/5/2002,2002/05/07-2002/06/07,28/6/2002
,,27/7/2001,Dec-01,Interim,No Dividend,-,-,-,-
,,9/3/2001,Dec-00,Final,D: RMB 0.0800,Cash,18/5/2001,2001/05/22-2001/06/22,30/6/2001
,,21/7/2000,Dec-00,Interim,No Dividend,-,-,-,-
753,????,30/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,28/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,29/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,31/3/2020,Dec-19,Final,D:RMB 0.04442(equivalent to HKD 0.04854),Cash,28/5/2020,2020/06/01-2020/06/06,16/7/2020
,,30/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,28/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,25/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,27/3/2019,Dec-18,Final,D:RMB 0.1033(equivalent to HKD 0.1175),Cash,3/6/2019,2019/06/05-2019/06/10,11/7/2019
,,30/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,30/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,26/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,27/3/2018,Dec-17,Final,D:RMB 0.1150,Cash,29/5/2018,2018/05/31-2018/06/05,4/7/2018
,,27/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,30/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,27/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,30/3/2017,Dec-16,Final,D:RMB 0.10771 (equivalent to HKD 0.12204),Cash,31/5/2017,2017/06/02-2017/06/07,7/7/2017
,,27/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,30/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
,,28/4/2016,Dec-16,Quarter 1,No Dividend,-,-,-,-
,,30/3/2016,Dec-15,Final,D:RMB 0.1070(equivalent to HKD 0.12699),Cash,30/5/2016,2016/06/01-2016/06/06,30/6/2016
,,29/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,27/8/2015,Dec-15,Interim,No Dividend,-,-,-,-
,,29/4/2015,Dec-15,Quarter 1,No Dividend,-,-,-,-
,,26/3/2015,Dec-14,Final,D:RMB 0.05223(equivalent to HKD 0.06626),Cash,28/5/2015,2015/05/30-2015/06/04,8/7/2015
,,28/10/2014,Dec-14,Quarter 3,No Dividend,-,-,-,-
,,26/8/2014,Dec-14,Interim,No Dividend,-,-,-,-
,,29/4/2014,Dec-14,Quarter 1,No Dividend,-,-,-,-
,,25/3/2014,Dec-13,Final,D:RMB 0.04531(equivalent to HKD 0.05699),Cash,6/6/2014,2014/06/10-2014/06/15,15/7/2014
,,29/10/2013,Dec-13,Quarter 3,No Dividend,-,-,-,-
,,27/8/2013,Dec-13,Interim,No Dividend,-,-,-,-
,,25/4/2013,Dec-13,Quarter 1,No Dividend,-,-,-,-
,,26/3/2013,Dec-12,Final,D:RMB 0.05935(equivalent to HKD 0.07433),Cash,7/6/2013,2013/06/11-2013/06/16,16/7/2013
,,28/8/2012,Dec-12,Interim,No Dividend,-,-,-,-
,,27/3/2012,Dec-11,Final,D:RMB 0.1180,Cash,27/6/2012,2012/06/29-2012/07/04,23/7/2012
,,25/8/2011,Dec-11,Interim,No Dividend,-,-,-,-
,,29/3/2011,Dec-10,Final,D:RMB 0.1182,Cash,20/4/2011,2011/04/26-2011/05/26,15/6/2011
,,25/8/2010,Dec-10,Interim,No Dividend,-,-,-,-
,,22/4/2010,Dec-09,Final,No Dividend,-,-,-,-
,,25/8/2009,Dec-09,Interim,No Dividend,-,-,-,-
,,16/4/2009,Dec-08,Final,No Dividend,-,-,-,-
,,27/8/2008,Dec-08,Interim,No Dividend,-,-,-,-
,,17/3/2008,Dec-07,Final,D: RMB 0.0684,Cash,29/4/2008,2008/05/01-2008/05/30,26/6/2008
,,11/9/2007,Dec-07,Interim,No Dividend,-,-,-,-
,,20/3/2007,Dec-06,Final,D: RMB 0.0492,Cash,27/4/2007,2007/05/01-2007/05/30,29/6/2007
,,30/8/2006,Dec-06,Interim,No Dividend,-,-,-,-
,,18/4/2006,Dec-05,Final,D: RMB 0.02383,Cash,11/5/2006,2006/05/13-2006/06/12,30/6/2006
,,5/9/2005,Dec-05,Interim,No Dividend,-,-,-,-
,,12/4/2005,Dec-04,Final,No Dividend,-,-,-,-
763,????,28/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,28/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,24/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,27/3/2020,Dec-19,Final,D:RMB 0.2000(equivalent to HKD 0.21872),Cash,23/6/2020,2020/06/25-2020/06/30,12/8/2020
,,28/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,27/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,29/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,27/3/2019,Dec-18,Final,No Dividend,-,-,-,-
,,25/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,30/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,27/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,15/3/2018,Dec-17,Final,D:RMB 0.3300(not approved as announced on 2018/06/29),Cash,-,-,-
,,26/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,24/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,17/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,23/3/2017,Dec-16,Final,No Dividend,-,-,-,-
,,27/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,25/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
,,27/4/2016,Dec-16,Quarter 1,No Dividend,-,-,-,-
,,6/4/2016,Dec-15,Final,D:RMB 0.2500(equivalent to HKD 0.29547),Cash,6/6/2016,2016/06/08-2016/06/13,15/7/2016
,,27/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,26/8/2015,Dec-15,Interim,No Dividend,-,-,-,-
,,23/4/2015,Dec-15,Quarter 1,No Dividend,-,-,-,-
,,25/3/2015,Dec-14,Final,D:RMB 0.2000(equivalent to HKD 0.25348),Cash,1/6/2015,2015/06/03-2015/06/08,17/7/2015
,,25/3/2015,-,Final,B: 2-for-10,Scrip,1/6/2015,2015/06/03-2015/06/08,17/7/2015
,,23/10/2014,Dec-14,Quarter 3,No Dividend,-,-,-,-
,,20/8/2014,Dec-14,Interim,No Dividend,-,-,-,-
,,17/4/2014,Dec-14,Quarter 1,No Dividend,-,-,-,-
,,26/3/2014,Dec-13,Final,D:RMB 0.0300(equivalent to HKD 0.0377),Cash,3/6/2014,2014/06/05-2014/06/09,24/7/2014
,,22/10/2013,Dec-13,Quarter 3,No Dividend,-,-,-,-
,,21/8/2013,Dec-13,Interim,No Dividend,-,-,-,-
,,26/4/2013,Dec-13,Quarter 1,No Dividend,-,-,-,-
,,27/3/2013,Dec-12,Final,No Dividend,-,-,-,-
,,22/8/2012,Dec-12,Interim,No Dividend,-,-,-,-
,,28/3/2012,Dec-11,Final,D:RMB 0.2000,Cash,29/5/2012,2012/05/31-2012/06/04,18/7/2012
,,30/8/2011,Dec-11,Interim,No Dividend,-,-,-,-
